출처,형태,세부정보,작성자,날짜,내용,공감,비공감,답글수,원댓글ID
시리즈,연재본,,,2019-07-08 4:56,저러다 들켜서 인당수에 빠질 뻔한걸 청이가 대신 빠질 각,69,1,,
시리즈,연재본,,,2020-10-18 9:39,보길 잘했다는 생각이 든다 대작냄새가 나는구만,68,0,,
시리즈,연재본,,,2020-05-11 4:12,맨들맨들한 뚝배기 밟아서 깨버린다,68,0,,
시리즈,연재본,,,2020-05-03 14:13,부처님의 심판이다,68,0,,
시리즈,연재본,,,2020-04-12 13:14,설마 배갈라서 자라 가져온거?,68,0,,
시리즈,연재본,,,2020-02-28 12:33,제목의 그녀는 마님이구나,68,0,,
시리즈,연재본,,,2019-11-10 3:27,흑흑 행복해라...,68,0,,
시리즈,연재본,,,2019-09-24 2:30,난 이미 홀렸어,68,0,,
시리즈,연재본,,,2019-09-22 5:57,막컷 마님 미소에 찡ㅜ,68,0,,
시리즈,연재본,,,2019-09-12 13:37,아이고... 그래도 아버지라고.....ㅜㅜㅜㅜ 청아...,68,0,,
시리즈,연재본,,,2019-09-11 16:37,진짜 스토리 연출 머하나 빠지는 것 없다ㅠㅠ작가님 굿즈 좀 많이 내주세요 ㅠㅠ,68,0,,
시리즈,연재본,,,2019-08-24 14:46,걍 디져주세요 제발 ㅜㅠㅜ,68,0,,
시리즈,연재본,,,2019-07-17 15:07,아오 보는 내가 더 안타깝네... 이 나쁜 자식들아 짜고 치는 건 너네들이잖아?! 이이ㅣ!!,68,0,,
시리즈,연재본,,,2019-07-17 13:59,불행들 제가 안고 갈테니 청이와마님은 꽃길만 걸으세요,68,3,,
시리즈,연재본,,,2019-07-14 13:54,개빡치네 아오..,68,0,,
시리즈,연재본,,,2019-07-12 15:07,아... 진짜 카카페에서 기무다보고 여기서 대여권보고 천국이려구나,68,4,,
시리즈,연재본,,,2019-07-10 13:18,"하 저스놈새끼,,,,",68,1,,
시리즈,연재본,,,2019-07-08 12:01,승상부인 너무 계략수얔ㅋㅋㅋㅋㅋㅋ으앙 너무 재밌어요ㅠㅠㅠㅠ,68,4,,
시리즈,연재본,,,2019-07-08 8:51,청이 마음 답답하겠다....,68,0,,
시리즈,연재본,,,2020-10-26 16:08,허걱‥마지막에 저남자 몽둥이 들고있네,67,0,,
시리즈,연재본,,,2020-10-18 17:21,여자 나이와 미모보고 지 나이는 생각 안한 승상 본인 업으로 쓰러진거 아님?ㅋㅋㅋ,67,0,,
시리즈,연재본,,,2020-02-07 16:39,서로가 서로의 구원이었네,67,0,,
시리즈,연재본,,,2020-01-24 13:43,"진짜 감사히 읽었습니다. 무수히 많은 지워진 이름들, 지워진 역사들 속 여자들은 분명하게 존재했고 투쟁해왔습니다. 좋은 작품 감사합니다 작가님!",67,1,,
시리즈,연재본,,,2019-12-05 14:16,언니가 준 칼 ㅠㅠㅠㅠㅠㅠㅠㅠ 이름 모를 덕이 엄마 ㅠㅠㅠㅠㅠ,67,0,,
시리즈,연재본,,,2019-11-28 13:27,오라버니 라는 작자도 참...하...,67,0,,
시리즈,연재본,,,2019-11-15 16:49,저상황엔진짜죽고싶을거예요 청이가 너무 안쓰럽네요,67,0,,
시리즈,연재본,,,2019-08-24 16:46,둘 다 이해가 가서 넘 슬퍼ㅠㅠㅠ,67,0,,
시리즈,연재본,,,2019-08-16 16:37,마지막 장면 정말 아름답네요.,67,0,,
시리즈,연재본,,,2019-08-16 7:20,스새끼 죽여버린다 진짜,67,1,,
시리즈,연재본,,,2019-08-02 9:56,최고입니다 제가 읽었던 모든 웹툰중 원탑이에요............... 페미니즘 관련 여성 서사라니 최고야,67,3,,
시리즈,연재본,,,2019-07-28 12:14,아 발암을 넘어 방사능 그 자체가 왔어,67,0,,
시리즈,연재본,,,2019-07-28 4:44,"아 진짜...너무 재밌다.....,. .,",67,0,,
시리즈,연재본,,,2019-07-26 9:28,아 땡중... 진짜 입 좀 닫으소 그러다 지옥 가여,67,0,,
시리즈,연재본,,,2019-07-18 0:11,이렇게 만난 거구나..,67,0,,
시리즈,연재본,,,2019-07-08 10:45,ㅠ3화까지만 봐도 명작인걸 알겠다,67,1,,
시리즈,연재본,,,2020-09-28 16:52,어린 딸한테 평생 빌붙어 사는 건 자존심 안 상하지만 같은 남자가 능력 없다고 도발하면 존심이 팍 상해버리는.. 능력없이 부모 등골 빼먹으며 외제차 굴리다 망하는 카푸어 남성들 같내요ㅋ,66,2,,
시리즈,연재본,,,2020-08-20 13:20,세리비완은 진짜 전설이다...,66,0,,
시리즈,연재본,,,2020-08-09 17:18,상인아저씨... 이 만화 XY염색체 중 그나마 정상인이었음,66,0,,
시리즈,연재본,,,2020-06-16 15:12,오늘 드디어 코미코 외전이 풀렸군요 ㅎㅎㅎ 마지막에 뺑덕어미랑 며느리랑 잘됐나보네요 며느님이 그집을 탈출할수있어서 다행입니다 너무 재밌어요 구원서사,66,0,,
시리즈,연재본,,,2020-05-30 18:09,존나 현실이구만 ㅌㅌㅋ 가족이라고 해도 저런다 ㅇ애비든 오라비든 앵같은 단어구만,66,2,,
시리즈,연재본,,,2020-05-05 11:47,아씨발더러워,66,0,,
시리즈,연재본,,,2020-04-19 13:26,스 존나 짜증남,66,1,,
시리즈,연재본,,,2020-02-24 10:32,전하고자 하는 메시지가 정말 알차다,66,0,,
시리즈,연재본,,,2020-01-30 9:47,작가님 복 많이 받으시고 만수무강하세요 사랑합니다ㅠㅠㅠ,66,0,,
시리즈,연재본,,,2020-01-13 6:36,좋지만 불안한건 왜지 청이가 행복했으면해요,66,0,,
시리즈,연재본,,,2019-11-09 14:00,꿈같다.......대박........마님 이름이 뭐예요.....달다........스윗........,66,0,,
시리즈,연재본,,,2019-11-07 15:42,마음이 찢어진다 제발 그냥 둘이 사랑하면서 살게 해줘ㅠㅜㅜ사람 살려.. ㅜㅜ...,66,0,,
시리즈,연재본,,,2019-10-02 18:01,헐 첫 화부터 반전이 두 번,66,0,,
시리즈,연재본,,,2019-09-14 6:14,혼절하겠네... 스놈 나올때마다 혈압올라 . .ㅜ,66,0,,
시리즈,연재본,,,2019-08-26 16:19,미친새끼가,66,0,,
시리즈,연재본,,,2019-08-20 15:56,저 새끼가 제일싫어 *****,66,0,,
시리즈,연재본,,,2019-08-20 12:21,스야 입으로 똥 그만 싸렴,66,0,,
시리즈,연재본,,,2019-08-15 14:03,저거 사이비 종교 아닌가여;;;,66,0,,
시리즈,연재본,,,2019-08-09 11:31,"마님이 차, 아니 가마 끌고 왔다!",66,0,,
시리즈,연재본,,,2019-07-27 15:41,ㅃ한데 칠칠치못하다고 쓰셔서 감동... 책에 죄다 칠칠맞다도 잘못쓰여서 볼때마다 고쳐주고싶었는데ㅜㅜ,66,0,,
시리즈,연재본,,,2019-07-22 15:06,와 진짜.... 와..,66,0,,
시리즈,연재본,,,2019-07-16 14:50,저런 개잡것이 있나,66,0,,
시리즈,연재본,,,2019-07-14 5:45,ㅠㅠㅠㅠㅠ둘이 파이팅이다 진짜ㅠㅠㅠ,66,0,,
시리즈,연재본,,,2019-07-10 22:21,그나마 이게 창작물이니까 구걸하고 훔쳐서 음식가져오는거지. 현실이면 청이가 몸팔고 있었겠지. 아버지가 참 짜증난다. 딸 고생시키면서 자기는 혼자 고매하네. 스님캐릭터처럼 위선적이잖아.,66,155,,
시리즈,연재본,,,2019-07-08 15:43,땡중놈 제발 뒤져라,66,0,,
시리즈,연재본,,,2019-07-08 9:04,눈 물 이 나 요,66,0,,
시리즈,연재본,,,2019-07-08 8:57,ㅋ스 딱 그렇게 생각하게 생겼다,66,0,,
시리즈,연재본,,,2019-07-08 8:56,청이 갖고 싶은 걸 마음껏.. 마음아프다,66,0,,
봄툰,연재본,그녀의 심청 : 57화,존나좋으면우는고라니,2020.04.12,하 ㅅㅂ..... jㅏji가 권력이지 아주......옘병,65,,,
시리즈,연재본,,,2020-04-11 1:23,댓글보고 화가 내려간다ㅠㅠㅠㅋㅋㅋ너무 웃곀ㅋㅋㅋㅋㅋ 땡중머리빈새끼 아 진짜 머리가 없긴하지 ㅋㅎ,65,0,,
시리즈,연재본,,,2020-02-07 14:57,에구 이번화는 서로 상처주는 날이네요.. 그래도 이렇게 서로의 아픔을 알아가겠죠,65,0,,
시리즈,연재본,,,2020-01-28 18:55,"하,,,,, 이렇게 서로에게 스며든다,,,,",65,0,,
시리즈,연재본,,,2019-11-16 16:10,와 세상에 진짜 대박이다 어떻게 이런 스토리로ㅜ,65,0,,
시리즈,연재본,,,2019-11-09 2:24,뺑덕어미가 아니라 눈이 안 보인다고 지들이 안준거구만...ㅠㅜ,65,0,,
시리즈,연재본,,,2019-10-14 14:09,한국남자,65,3,,
시리즈,연재본,,,2019-09-22 19:26,이 세상에서 마님이름 아는 사람은 청이밖에 없다..ㅠㅠㅠㅜㅠ,65,0,,
시리즈,연재본,,,2019-09-18 9:18,아 미친 놈들.... 진짜 마님 너무너무 시원해요 와... ㅠㅠ 근데 제발 죽지만 말아주세요ㅠㅠㅠㅠㅠ,65,0,,
시리즈,연재본,,,2019-09-16 16:01,"저딴 새끼가 스님이라고 ,;스님이름 먹칠하노",65,2,,
시리즈,연재본,,,2019-09-15 15:50,"앗,,! 스님 거기 목선따라 쫌~ 만 자르시는게 더 잘어울리실것 같은데.. .. 하는김에 두개골도 좀 가르고.. 전체적으로 코가 좀 나와있어서 둥글게 다듬으시는게 더 보기 좋을것 같아요!! 특히 목은 꼭 잘라드리고싶네요ㅎㅎ",65,0,,
시리즈,연재본,,,2019-07-21 5:48,드디어 나간다!!!!,65,0,,
시리즈,연재본,,,2019-07-15 12:11,스프라잍흐!!!!,65,0,,
시리즈,연재본,,,2019-07-09 1:29,배깐겨?,65,0,,
봄툰,연재본,그녀의 심청 : 56화,ㅇㄹ,2020.07.09,"성차별 맞는데 뭐가 바보 같다는 건지.. 여성들이 말할 때는 욕심이라고 하는데 남성이 말하니까 기개
        있다고 하는 게 어딜 봐서 성차별이 아니라는 거죠.",64,,,
시리즈,연재본,,,2020-11-13 23:36,엄마가 일하러 나가야만 굶지않으니 혼자 있을 때마다 저런 생각했나봐 ㅜㅜ 이그 ㅜㅜ,64,0,,
시리즈,연재본,,,2020-06-29 13:08,풍경이 아주 장관이네요 절경이구요,64,0,,
시리즈,연재본,,,2020-06-22 20:05,mr.스，유 쏘 스튜핏 쏘 유어 헤어 런어웨이,64,0,,
시리즈,연재본,,,2020-05-24 13:32,14쪽ㅋㅋ 마님 죽으면 둘곳이라니까 말바꾸네ㅋㅋ,64,0,,
시리즈,연재본,,,2020-05-20 13:25,아 음성지원되서 너무 힘들다 저게 누구에게 말하고 누가 말하는 간지 아는 거니까 너무 힘들다 다시 보는 건데도 왜 그럴까,64,0,,
시리즈,연재본,,,2020-05-05 13:10,에이... 밑에 홍이님 만화 제대로 안 보셨네 저 남자들은 청이가 주먹밥 들고 집으로 가는 길에 만나서 청이가 도둑질한 사내들이예요,64,1,,
시리즈,연재본,,,2020-04-13 13:57,저 스놈 새끼가 살인까지 하네 심봉사 개비는 죽어도 쌌지만 스놈 네가 할 짓은 아니었다 부디 1000번을 개미새끼로 태어나 윤회하며 사람들에게 짓밟혀 죽임당해라,64,0,,
시리즈,연재본,,,2020-01-29 17:25,와.. 이게 이렇게 이어지는구나..,64,0,,
시리즈,연재본,,,2019-11-10 3:22,부처님의 핵박치기를 받아라,64,0,,
시리즈,연재본,,,2019-11-04 13:04,스놈저새끼...,64,0,,
시리즈,연재본,,,2019-09-20 13:21,아이고 안돼 청아ㅠㅠ,64,0,,
시리즈,연재본,,,2019-09-19 10:53,또 뭘 하려고 이 자식아,64,0,,
시리즈,연재본,,,2019-08-23 16:04,여성중에 제일 높은 중전들도 우리가 이름을 사람은 극히 일부분 뿐이죠....장희빈인 장옥정,64,1,,
시리즈,연재본,,,2019-08-13 15:45,진짜 만화랑 댓글 보면서 정말 환멸.. 딱 꼬집으려고 한 부분을알려주네요~! 비공감이 많으면 왜 구런지 머리로 생각를 하고 모르겠으면 외워^^!!,64,2,,
시리즈,연재본,,,2019-07-22 9:56,"명작 잘 봤습니다. 하루 동안 쉬지도 않고 다 봤습니다. 제가 느낀 감동을 글로 다 표현할 수가 없네요! 보면서 내내 감탄했어요. 그림이 하나의 작품 같아서 헉! 한 적도 많았고, 스토리 따라가면서 설레고 웃고 슬프고 화나고 긴장하고 통쾌하고 온갖 감정을 느끼고 스토리 구성에 감탄하고. 정말 이건 명작입니다. 글 쓰면서 하나하나 생각할수록 그러네요. 주인공 두 명이 성장하는 것과 주변인물들 설정도 너무 좋고요. 스토리를 끌고 가면서 중간중간 속시원한 장면들과 메시지까지. 멋진 작품을 보여주신 두 분께 감사드립니다. 두 작가님 더 성공하시길 바라고 다음 작품도 기대하겠습니다!",64,0,,
시리즈,연재본,,,2019-07-18 9:03,전개 미쳤어ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,64,0,,
시리즈,연재본,,,2019-07-13 21:58,안 울 수가 없었다...,64,0,,
시리즈,연재본,,,2019-07-08 11:53,스놈 아주 땡중중의 땡중이네..,64,0,,
시리즈,연재본,,,2019-07-08 10:50,덕이언니 처음부터 사랑했어 내가,64,0,,
시리즈,연재본,,,2020-08-27 13:07,우리 마님도 노빠꾸였던거임~~데엠~~~~,63,0,,
시리즈,연재본,,,2020-07-19 14:21,소름돋아요 작가님들 어떻게 이런 이야기를 쓰세요,63,0,,
시리즈,연재본,,,2020-07-04 13:11,하하 댓글분들 한국 남자 같은게 아니라 저들이 한국 남자입니다 ^오^,63,3,,
시리즈,연재본,,,2020-06-20 10:51,헐 어쩐지 보고싶어져서 들어와봤는데 외전이,63,1,,
시리즈,연재본,,,2020-06-14 17:00,진짜 땡중새기 물에 사람 밀어놓고도 스님이냐;; 진짜 넌 극락왕생하긴 글렀다,63,0,,
시리즈,연재본,,,2020-06-13 5:46,스ㅋㅋㅋㅋㅋ하긴 님자 붙여주기도 싫긴 하다,63,0,,
시리즈,연재본,,,2020-01-29 15:40,건드리지마라..,63,0,,
시리즈,연재본,,,2020-01-06 13:45,으아.....너무달달한커플이야,63,0,,
시리즈,연재본,,,2019-11-14 13:13,ㅡㅡ니놈을 잡아야쓰것다,63,0,,
시리즈,연재본,,,2019-09-20 8:39,(기립박수),63,0,,
시리즈,연재본,,,2019-08-24 12:25,청아 승상암살하고마님데꼬튀자,63,1,,
시리즈,연재본,,,2019-08-05 16:36,뭔가 불심이라는게 저런건가 이상해,63,1,,
시리즈,연재본,,,2019-07-26 14:46,스새끼 눈썹 뽑아버려,63,1,,
시리즈,연재본,,,2019-07-23 11:24,청이 울면서 먹는 거 공감간다ㅋㅋ,63,2,,
시리즈,연재본,,,2019-07-08 8:45,청이 죽을 괘..ㅠㅠㅠㅠㅠ 안돼 ㅠㅠ,63,0,,
봄툰,연재본,그녀의 심청 : 5화,나우리,2020.04.09,마님의 불꽃 플러팅,62,,,
시리즈,연재본,,,2020-11-09 16:03,헐..저 중놈이.. 대놓고 가스라이팅 하네!!!,62,0,,
시리즈,연재본,,,2020-08-15 13:00,소름끼친다ㅜㅠ 내가 감이 앞서가는건 아닌지 모르겠지만.. 효녀심청이 인당수에 몸을 던지게 몰아가는 기분이..,62,0,,
시리즈,연재본,,,2020-08-12 13:38,아진짜 이만화보다 스트레스로기절할거같음다들어떻게버티는거에요욕나오는정도가아니라 욕도 막히고 숨도 막힘,62,0,,
시리즈,연재본,,,2020-07-04 14:06,노을 펼쳐질 때 소름 돋았어요 ㅎㅎ,62,0,,
시리즈,연재본,,,2020-06-21 13:04,무슨 bl이야..gl이지,62,0,,
시리즈,연재본,,,2020-06-16 14:59,매열무로 찔끔씩 보다가 이런 갓 작품을 공짜로 보는 게 너무 죄스러워서 단행본 세트 구입했답니다! 처음부터 끝까지 완독하면서 몇번을 울었는지 몰라요ㅠㅠㅠ 일단 박스세트판 구성도 좋고 겉표지며 박스며 매우매우 아름다워요ㅠㅠㅠ 구매하길 정말 잘한 것 같아요ㅠㅠㅠㅠㅠ 행복해지는 외전 보면서 오늘도 힘냅니다ㅠㅠ 작가님들 천재예요 사랑합니다 이런 멋진 작품 써주셔서 감사해요!!!!,62,0,,
시리즈,연재본,,,2020-05-30 18:29,애비가애비했네,62,0,,
시리즈,연재본,,,2020-05-01 15:32,이때는 몰랐지 저 대가리 빡빡이가 쓰레기도 마다하는 쓰레기일 준ㅅ은...........,62,0,,
시리즈,연재본,,,2020-02-27 1:03,이름이 있었으면 뭐해 그 이름으로 불리질 않았는데,62,0,,
시리즈,연재본,,,2019-12-03 19:19,니들이 싹 다 재물이 되면 ㄱ될듯 개빡친다 진짜...,62,0,,
시리즈,연재본,,,2019-11-16 17:08,애비가 애비가 아님,62,0,,
시리즈,연재본,,,2019-11-09 14:27,그깟 종이 한 장 뒤집으면 그만인데 그 하나 뒤집기 어려워 사람은 가진 걸 포기하기 힘들어한다.,62,0,,
시리즈,연재본,,,2019-10-07 13:04,한 컷 한 컷 너무너무 예쁘다...,62,0,,
시리즈,연재본,,,2019-09-20 2:09,마님 달려!!!!,62,0,,
시리즈,연재본,,,2019-08-24 14:04,청아ㅜㅜㅠㅠㅠㅜ 행복해지자... 마님이랑 같이! 진짜 이런 행복이라도 좋아ㅜㅠㅠㅠ 부디 길었으면 좋겠는데...ㅜㅜ,62,1,,
시리즈,연재본,,,2019-08-21 19:33,욕이 찰지다~,62,0,,
시리즈,연재본,,,2019-07-09 19:03,결국 다 결제했네요ㅜㅜㅠ 스토리 최고예요.. 들숨에 재력을 날숨에 건강을 얻으세요ㅠㅠㅠ,62,0,,
봄툰,연재본,그녀의 심청 : 67화,-,2019.07.17,진짜 땅작이다........ 자까님 만수무강하새요...,61,,,
봄툰,연재본,그녀의 심청 : 67화,-,2019.07.17,진짜 땅작이다........ 자까님 만수무강하새요...,61,,,
시리즈,연재본,,,2020-10-23 13:09,하 옆에서주저리대는 상인놈들도 죽이고싶음,61,0,,
시리즈,연재본,,,2020-07-04 14:05,지엘맛집,61,0,,
시리즈,연재본,,,2020-05-23 15:16,저렇게 멍청한 애도 이 만화를 71화까지 봤다는게 신기하다...,61,1,,
시리즈,연재본,,,2020-05-03 13:24,부처님 나이스샷,61,0,,
시리즈,연재본,,,2020-04-27 15:13,응 여돕여 눈물지롸,61,0,,
시리즈,연재본,,,2020-04-25 12:57,상상도 못한...청이 언니 박력에 댓써야지했는데 설마 마님잌ㅋㅋㅋㅋ,61,0,,
시리즈,연재본,,,2020-04-09 1:51,스 대가리 존나 두들겨버려,61,0,,
시리즈,연재본,,,2020-02-14 9:13,아드놈 죽여버려,61,0,,
시리즈,연재본,,,2020-02-06 3:53,마님 울때 같이 울었다....... ㅠㅠ 행복해라 둘다,61,0,,
시리즈,연재본,,,2019-09-22 5:17,청이가 강해서 다행이다 저렇게 강한데도 사회가 저 모양이니 걱정이지만..,61,0,,
시리즈,연재본,,,2019-07-23 11:23,세상에.. 죽은 쥐 넣었으면 차 위생이,61,2,,
시리즈,연재본,,,2019-07-17 8:47,훗날 청이와 장승상 부인 맺어지나?,61,0,,
시리즈,연재본,,,2019-07-16 15:08,마님 ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅠㅜㅜ,61,0,,
시리즈,연재본,,,2019-07-08 4:04,스님 존빡,61,0,,
봄툰,연재본,그녀의 심청 : 46화,존나좋으면우는고라니,2020.04.11,"아 저 대머리땡중 새키 초장부터 싸하다 했어 하여간 좟달린 것들은 이렇다니까 뭐 정상이 없냐 씌발
        공익을 위해 다 다져라 좀 아",60,,,
봄툰,연재본,그녀의 심청 : 28화,-,2020.03.18,재벌 언니가 청이 데리러 밴츠몰고 왔어ㅠ,60,,,
봄툰,연재본,그녀의 심청 : 35화,대환장,2019.10.27,스님 여태 도움된적도 없고..,60,,,
시리즈,연재본,,,2020-07-12 15:23,스놈 너무 쉽게 죽은건 짱나지만 한편으론 심청이 손에 더러운 피 안묻혀서 다행이란 생각이…...,60,0,,
시리즈,연재본,,,2020-06-12 18:30,빡빡이 인중 개세게 때리고 싶다,60,0,,
시리즈,연재본,,,2020-05-17 14:19,하...... 진짜 과학이다,60,0,,
시리즈,연재본,,,2020-04-21 14:52,다음화 예상합니다 저 스님이 마님 없을때 왜 데려왔냐! 어쩌고 저쩌고,60,1,,
시리즈,연재본,,,2020-04-17 14:03,"악마의 키스는 달콤하나 당긴을 나락에 빠뜨리고, 천사의 키스는 고통스러우나 당신을 구원하리라.청이와 마님은 허로가 서로에게 천사와 다를바 없었겠네요",60,0,,
시리즈,연재본,,,2019-11-10 3:46,니들만 죽으면 다 해결이여,60,0,,
시리즈,연재본,,,2019-11-06 14:26,이렇게 자세하게 보여주셔서 얼마나 처절하고 무섭고 슬펐을지...개애비,60,0,,
시리즈,연재본,,,2019-10-05 4:59,호호 이 장면은 다시 봐도 흐뭇하군요 ㅎㅎㅎㅎㅎ,60,0,,
시리즈,연재본,,,2019-09-22 5:54,그 와중에 청이와 마님의 사랑까지 빼놓지 않는 치밀함에 저는 울어버려ㅠㅠㅠㅠㅠ,60,0,,
시리즈,연재본,,,2019-09-22 4:58,그동안 무료로 1화씩 보다가 돈주고 몰아보니 안보이던게 보이네요. 끊어서 볼 때도 명작이라 생각했지만요 어쩜 인물들이 다 이리도 다양하고 입체적인가요 잘 보고 있어요 응원합니다,60,0,,
시리즈,연재본,,,2019-09-12 19:53,작은배 사람빼고는 다 제정신들이 아니네,60,3,,
시리즈,연재본,,,2019-09-03 5:05,뺑덕어미 청이에겐 너무 고마운 존재다...,60,0,,
시리즈,연재본,,,2019-08-31 14:57,밑 댓분... 정말 공감합니다... 저것들은 인간이 아니라 짐승이죠... 으-,60,0,,
시리즈,연재본,,,2019-08-18 13:41,내가 하고싶은 말 다 댓글에 있네 개 통 쾌,60,0,,
시리즈,연재본,,,2019-08-18 13:35,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ명작이야 진짜 처음부터 끝까지 현실적이고 마무리까지 깔끔해요ㅠㅠㅠㅠㅠㅠㅠㅠ 애비는 아직도 돈을 못벌고 저렇게 구라치면서 동냥해 사네여 ㅎ 것두 동네 여자애가 도와줘서^^ 혼자 할 수 있는거라고는 주댕이 놀리는거밖에 없네 ㅎ 그리고 심청이가 지 지긋지긋해서 안돌아올거라고 생각을 못한다는거 자체가..... 자식은 좋은 부모든 나쁜 부모든 무조건 끝까지 책임지며 효도할거라고 생각하며..........자식한테 뽕뽑으려 하는......아주 흔하디 흔한.......ㅎ.... ^^,60,0,,
시리즈,연재본,,,2019-08-12 13:14,아 스님 자꾸 끼지마쇼,60,0,,
시리즈,연재본,,,2019-08-06 13:16,부처님 나이스샷~,60,0,,
시리즈,연재본,,,2019-07-25 13:22,자라 맞아여,60,2,,
시리즈,연재본,,,2019-07-21 13:41,난 저런 마님한테 집착받는거 조아.... 탈덕했다고 생각한 집착캐릭터에 심쿵해버려따...,60,2,,
시리즈,연재본,,,2019-07-08 10:30,ㅋㅋㅋㅋㅋㅋㅋㅋ 아 스님 니그럴줄알았다,60,1,,
시리즈,연재본,,,2019-07-08 8:00,뺑덕언니 유쾌해서 좋아욬ㅋㅋㅋ,60,2,,
시리즈,연재본,,,2022-10-19 15:37,하... 아름다운 여성들의 사랑이다...,59,0,,
시리즈,연재본,,,2020-09-30 13:41,난 진짜 스 보다 심봉사가 진짜 ㅋㅋㅋㅋㅋ 어쩜 저리 한결 같을까?,59,0,,
시리즈,연재본,,,2020-07-25 0:36,아진짜 청이 눈 찔러서 우는거 나만 웃기냐고ㅋㅋㅋㅋㅋㅋ ㅋ청아ㅋㅋㅋㅋㄱㅋㅋ,59,0,,
시리즈,연재본,,,2020-07-20 13:37,"""내가 또 뭘 하면 되지?"" 마님한테 치이고. 흙탕물 퍼내는 연출에 또 치이고...",59,0,,
시리즈,연재본,,,2020-06-23 15:02,엔딩으로 치닫을수록 진가를 발하네요 왜 갓작으로 유명한지 이제 알았습니다...,59,0,,
시리즈,연재본,,,2020-06-20 10:56,하아아좋다,59,1,,
시리즈,연재본,,,2020-06-11 8:01,부처님이 도우신대 ㅋㅋㅋㅋㅋ댓글들개웃겨,59,0,,
시리즈,연재본,,,2020-05-17 15:36,아...... 진짜 가슴이 너무 미어져요 ㅠㅠㅠㅠㅠ,59,0,,
시리즈,연재본,,,2020-05-06 13:07,지랄뱅,59,1,,
시리즈,연재본,,,2020-04-26 13:54,효녀 심청 전래동화를 다시 생각해보게 되네..바다에 반강제로 몸을 던지는게 정말 효심 깊은 효녀라고 칭찬할 만한 일인가?,59,0,,
시리즈,연재본,,,2020-04-20 13:04,마님 뛰쳐나가는 장면 하늘 너무 푸르고 탁 트여서 눈물나뮤ㅠㅠ,59,0,,
시리즈,연재본,,,2020-02-08 14:50,너무명작...ㅜㅜ,59,0,,
시리즈,연재본,,,2020-01-22 5:06,그 성별이 또...,59,1,,
시리즈,연재본,,,2019-12-30 1:22,청이 눈이 죽었어ㅜㅜ,59,0,,
시리즈,연재본,,,2019-12-24 13:18,아니... 마음이 부자면 뭐하나.... 몸은 굶주리는데ㅜㅜ,59,0,,
시리즈,연재본,,,2019-11-09 13:34,아 헐 개좋아 개설레,59,0,,
시리즈,연재본,,,2019-10-11 14:18,앞으로 제게 심청전 원작은 이겁니다... ㅠㅠ 좋은 작품 정말 감사합니다 작가님.,59,0,,
시리즈,연재본,,,2019-09-25 23:11,와이염색체ㅜㅜ,59,1,,
시리즈,연재본,,,2019-08-20 15:30,아니야 그거 아니야 당장 그 생각을 접어,59,0,,
시리즈,연재본,,,2019-08-20 9:47,스쉬쉐바새놈개끼야,59,0,,
시리즈,연재본,,,2019-08-13 16:27,이번편 울면서 봤네요...ㅠㅠㅠㅠㅠ청아ㅜㅠㅠ마님ㅠㅠㅠㅠ,59,2,,
시리즈,연재본,,,2019-08-09 17:50,다죽어 제발 으,59,1,,
시리즈,연재본,,,2019-07-30 14:21,스놈 좀 튀어나오지마ㅠ,59,0,,
시리즈,연재본,,,2019-07-24 17:24,너무 좋다 진짜....,59,0,,
시리즈,연재본,,,2019-07-24 1:59,와 미친 ㄷㄷㄷㄷㄷㄷ 개설레,59,5,,
시리즈,연재본,,,2019-07-18 13:42,화룡점정이다 끝났네ㅋㅋ,59,0,,
시리즈,연재본,,,2019-07-09 12:05,선발대입니다이미 웹 연재분으로 소장하고 책으로도 전권 구매하였습니다재밌습니다 안보시면 후회합니다,59,0,,
시리즈,연재본,,,2019-07-09 6:04,꺼져 머리 더 빡빡 밀어버리게 전에ㅡㅡ둘 사랑하게 냅두라고!,59,0,,
시리즈,연재본,,,2019-07-09 1:56,명작예감,59,0,,
시리즈,연재본,,,2019-07-08 17:02,네이버.. 괜찮아? (뻘뻘),59,6,,
시리즈,연재본,,,2019-07-08 9:22,아 이 고,59,0,,
시리즈,연재본,,,2020-08-26 13:36,여자업적 도둑질하는 그남들ㅋㅋㅋ 아오 빡쳐,58,0,,
시리즈,연재본,,,2020-08-18 13:32,스놈쉑 죽은건 좋은데 너무 찝찝하게 죽음... 청이 손으로 죽는거 아님 길가다 고꾸라지길 원했는데...,58,0,,
시리즈,연재본,,,2020-07-23 15:18,공정한 판결을 위해 스새끼 눈을 찌르자,58,0,,
시리즈,연재본,,,2020-06-17 14:50,아미친주식떡상~!!!!!,58,0,,
시리즈,연재본,,,2020-04-27 14:42,극대노... 청아.... 아아... 타코야키 멱살잡고 산 밖으로 던져버리고 싶어요... 말하는 꼬라지... 눈깔 움직이는 꼬라지...,58,0,,
시리즈,연재본,,,2020-01-25 1:55,가스라이팅 오졌다,58,0,,
시리즈,연재본,,,2020-01-22 16:15,제발 영화화 해주세요..,58,0,,
시리즈,연재본,,,2019-12-01 13:19,와.... 정말 사랑의 힘이란......,58,0,,
